% Model:              electrostatically actuated reflector 50-cm.mph
% Version:            COMSOL 6.3.0.335
% Date:               Jun 9 2025, 23:48
% Dimension:          1
% Nodes:              674
% Expressions:        1
% Description:        Line graph
% y-coordinate (m)        Displacement field, Z-component
0.1326631748184859        -17.087527564226633
0.13410795236924025       -16.924626956969547
0.136627966447089         -16.63908337260275
0.1373397555276406        -16.55725191308697
0.13774777621493622       -16.51011508572333
0.14083583432802974       -16.149648817158475
0.14133918911991106       -16.090763060284658
0.14142583371857315       -16.080596178222713
0.1449295157458098        -15.66098411108273
0.1456340950010163        -15.576352234839394
0.14726375609280945       -15.378234307591553
0.14867186204916222       -15.206536023066295
0.14948427113390272       -15.106723383208855
0.15170897270619954       -14.831291467289772
0.154273218396882         -14.51145015012116
0.1547454817190028        -14.452097142305568
0.15556396031218817       -14.348475149183015
0.1577813145456067        -14.06693987360994
0.15906056052613138       -13.903330892411082
0.16081651821377105       -13.677089752233213
0.16384633395159307       -13.283915581233282
0.16384990055565019       -13.283449824387839
0.16385581655922157       -13.282676648522415
0.16550051881524336       -13.06673452797551
0.16714696128387574       -12.849578577180765
0.16715077548914642       -12.849074345120119
0.16715458526253482       -12.848568418242651
0.16880080988510787       -12.629451440223963
0.17044877475652717       -12.409115995153128
0.17045065980608817       -12.408863387095183
0.170452542667054         -12.408609944497035
0.1721002874047895        -12.186311441917649
0.1737496887715733        -11.96280116985946
0.17374973057186963       -11.96279549272162
0.17374978344330233       -11.962788226743973
0.17791905510896674       -11.389793110362037
0.17791907369830984       -11.389790507573654
0.18208680233199434       -10.80622222538191
0.18208682072231          -10.806219602834016
0.18625297224095527       -10.212082838355283
0.18625302449225783       -10.212075251646594
0.19041766265048535       -9.60741136628044
0.1904177455897149        -9.60739910942593
0.19458077443829602       -8.992196682812502
0.1945808529069744        -8.992184883422592
0.1987423076030852        -8.366438788358353
0.1987423410360144        -8.366433685418077
0.20232080110882747       -7.820221916355176
0.2023208227070269        -7.820218580609786
0.20589825467325637       -7.267676526464962
0.20589827478956052       -7.267673383092178
0.2094746682963659        -6.708802618894119
0.2094746972788274        -6.708798037478921
0.21305034452101346       -6.143607145640315
0.21305038369537402       -6.143600882943099
0.2166249894606881        -5.5721620781529895
0.21662502775103099       -5.572155888051899
0.22019860311293782       -4.994467416977895
0.22019862452191258       -4.994463926854274
0.2231026589157157        -4.521015601375823
0.2231026756027786        -4.521012862851589
0.22600616873464047       -4.044490578423416
0.22600618205429426       -4.044488378014893
0.22890913256971324       -3.5648923481599417
0.22890914387614333       -3.5648904680131426
0.2318114194486534        -3.0822736721136326
0.2318114302252629        -3.0822718685032258
0.2347131688845687        -2.596646827225724
0.2347131786149019        -2.596645188332978
0.23761438087797604       -2.1080118134877823
0.23761439250427677       -2.1080098476944427
0.23967903407536945       -1.7584345797558145
0.24174354503449688       -1.4085364298011342
0.24174355257039146       -1.4085351508550048
0.24174356010692089       -1.4085338705414334
0.24380788977520282       -1.0573609452722859
0.24587208861694537       -0.70586517057248
0.24587209227773274       -0.7058645463586384
0.2458720959388289        -0.7058639214799167
0.24793611348996453       -0.35309336897500604
0.25                      0
